symbol,yf_symbol,name,sector,industry,country,ipoyear,market_cap,nasdaq_last_price,nasdaq_volume,nasdaq_dollar_volume,start_date,start_adj_close,latest_date,latest_adj_close,one_month_return,history_observations
VPG,VPG,Vishay Precision Group Inc. Common Stock,Technology,Electrical Products,United States,,1855755520.0,139.52,644743.0,89954543.36,2026-05-12,85.56999969482422,2026-06-12,139.52000427246094,0.6304780269959489,44
AGL,AGL,agilon health inc. Common Stock,Health Care,Misc Health and Biotechnology Services,United States,2021,1883766277.0,112.91,288970.0,32627602.7,2026-05-12,69.54000091552734,2026-06-12,112.91000366210938,0.6236698615990108,44
CORT,CORT,Corcept Therapeutics Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,2004,8900520659.0,82.91,719013.0,59613367.83,2026-05-12,51.15999984741211,2026-06-12,82.91000366210938,0.6206021092531984,44
HPE,HPE,Hewlett Packard Enterprise Company Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,United States,2015,63786883607.0,48.17,23500441.0,1132016242.97,2026-05-12,30.209999084472656,2026-06-12,48.16999816894531,0.5945051184627059,44
CBRL,CBRL,Cracker Barrel Old Country Store Inc Common Stock,Consumer Discretionary,Restaurants,United States,1981,1043589667.0,46.69,1985440.0,92700193.6,2026-05-12,29.739999771118164,2026-06-12,46.689998626708984,0.5699394413597716,44
STUB,STUB,StubHub Holdings Inc. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,United States,2025,4302511469.0,11.46,9381994.0,107517651.24000001,2026-05-12,7.320000171661377,2026-06-12,11.460000038146973,0.5655737389888564,44
GENI,GENI,Genius Sports Limited Ordinary Shares,Consumer Discretionary,Services-Misc. Amusement & Recreation,Guernsey,2021,1762163706.0,6.85,6540567.0,44802883.949999996,2026-05-12,4.449999809265137,2026-06-12,6.849999904632568,0.5393258872439732,44
ARCB,ARCB,ArcBest Corporation Common Stock,Industrials,Trucking Freight/Courier Services,United States,,3852524491.0,173.04,399554.0,69138824.16,2026-05-12,112.91999816894531,2026-06-12,173.0399932861328,0.532412292703361,44
SNOW,SNOW,Snowflake Inc. Common Stock,Technology,Computer Software: Prepackaged Software,United States,2020,80681548000.0,232.78,7702429.0,1792971422.6200001,2026-05-12,151.97999572753906,2026-06-12,232.77999877929688,0.5316489361969148,44
ATEX,ATEX,Anterix Inc. Common Stock,Telecommunications,Telecommunications Equipment,United States,2015,1545463343.0,82.5,979308.0,80792910.0,2026-05-12,54.25,2026-06-12,82.5,0.5207373271889402,44
WGS,WGS,GeneDx Holdings Corp. Class A Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,United States,2020,1778906578.0,59.92,1399943.0,83884584.56,2026-05-12,39.4900016784668,2026-06-12,59.91999816894531,0.5173460527255089,44
SEDG,SEDG,SolarEdge Technologies Inc. Common Stock,Technology,Semiconductors,Israel,2015,3697746682.0,60.8,2155648.0,131063398.39999999,2026-05-12,40.41999816894531,2026-06-12,60.79999923706055,0.5042058879600146,44
SLS,SLS,SELLAS Life Sciences Group Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,,1456635054.0,7.83,4062040.0,31805773.2,2026-05-12,5.21999979019165,2026-06-12,7.829999923706055,0.5000000456740592,44
ACMR,ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components,United States,2017,6221826724.0,93.95,2245597.0,210973838.15,2026-05-12,62.9900016784668,2026-06-12,93.94999694824219,0.4915065001555492,44
BB,BB,BlackBerry Limited Common Stock,Technology,Computer Software: Prepackaged Software,Canada,,5385904330.0,9.19,22159974.0,203650161.06,2026-05-12,6.21999979019165,2026-06-12,9.1899995803833,0.4774919437899432,44
OKTA,OKTA,Okta Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,United States,2017,20212058476.0,116.29,1979532.0,230199776.28,2026-05-12,79.05999755859375,2026-06-12,116.29000091552734,0.4709082280117871,44
OUST,OUST,Ouster Inc. Common Stock,Industrials,Industrial Machinery/Components,United States,,2525751422.0,39.8,4648404.0,185006479.2,2026-05-12,27.100000381469727,2026-06-12,39.79999923706055,0.46863463752106616,44
ENPH,ENPH,Enphase Energy Inc. Common Stock,Technology,Semiconductors,United States,2012,7194864830.0,54.59,5042892.0,275291474.28000003,2026-05-12,37.47999954223633,2026-06-12,54.59000015258789,0.45651016060099603,44
PENG,PENG,Penguin Solutions Inc. Common Stock,Technology,Semiconductors,United States,2017,3254437688.0,64.13,1391510.0,89237536.3,2026-05-12,44.130001068115234,2026-06-12,64.12999725341797,0.4532063381197857,44
TE,TE,T1 Energy Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,Luxembourg,2021,2373806730.0,8.5,30526007.0,259471059.5,2026-05-12,5.849999904632568,2026-06-12,8.5,0.45299147667830186,44
HAE,HAE,Haemonetics Corporation Common Stock,Health Care,Medical/Dental Instruments,United States,1991,3553875871.0,78.2,1198366.0,93712221.2,2026-05-12,54.0099983215332,2026-06-12,78.19999694824219,0.4478800107102521,44
CLOV,CLOV,Clover Health Investments Corp. Class A Common Stock,Health Care,Medical Specialities,United States,,2491216853.0,4.73,10485409.0,49595984.57000001,2026-05-12,3.2799999713897705,2026-06-12,4.730000019073486,0.4420731891254668,44
KSS,KSS,Kohl's Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,United States,1992,2048003874.0,18.06,4891681.0,88343758.86,2026-05-12,12.630855560302734,2026-06-12,18.059999465942383,0.4298318415343769,44
RXO,RXO,RXO Inc. Common Stock,Consumer Discretionary,Transportation Services,United States,2022,4675490845.0,28.35,1731953.0,49100867.550000004,2026-05-12,20.049999237060547,2026-06-12,28.350000381469727,0.4139651601116974,44
VOYG,VOYG,Voyager Technologies Inc. Class A Common Stock,Industrials,Military/Government/Technical,United States,2025,2438637349.0,41.15,3791152.0,156005904.79999998,2026-05-12,29.200000762939453,2026-06-12,41.150001525878906,0.4092465907777083,44
KLAC,KLAC,KLA Corporation Common Stock,Technology,Electronic Components,United States,1980,33249929195.0,254.54,10056594.0,2559805436.7599998,2026-05-12,180.9040985107422,2026-06-12,254.5399932861328,0.4070438170366719,44
SG,SG,Sweetgreen Inc. Class A Common Stock,Consumer Discretionary,Restaurants,United States,2021,1077766849.0,9.07,3380938.0,30665107.66,2026-05-12,6.510000228881836,2026-06-12,9.069999694824219,0.39324107157244925,44
PURR,PURR,Hyperliquid Strategies Inc Common Stock,Finance,Finance: Consumer Services,United States,,1256693868.0,8.7,16038233.0,139532627.1,2026-05-12,6.25,2026-06-12,8.699999809265137,0.3919999694824219,44
NTAP,NTAP,NetApp Inc. Common Stock,Technology,Electronic Components,United States,1995,31662619402.0,161.61,1774612.0,286795045.32000005,2026-05-12,116.2300033569336,2026-06-12,161.61000061035156,0.39043272771884396,44
BTDR,BTDR,Bitdeer Technologies Group Class A Ordinary Shares,Finance,Finance: Consumer Services,Singapore,,4338282433.0,17.83,8354218.0,148955706.94,2026-05-12,12.829999923706055,2026-06-12,17.829999923706055,0.3897116157235103,44
BBAR,BBAR,Banco BBVA Argentina S.A. ADS,Finance,Commercial Banks,Argentina,,4211360610.0,20.62,1039959.0,21443954.580000002,2026-05-12,14.87158203125,2026-06-12,20.6200008392334,0.3865371415027743,44
CXW,CXW,CoreCivic Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,,2679877266.0,27.1,923436.0,25025115.6,2026-05-12,19.600000381469727,2026-06-12,27.100000381469727,0.38265305377701253,44
PENN,PENN,PENN Entertainment Inc. Common Stock,Consumer Discretionary,Hotels/Resorts,United States,1994,2901724283.0,21.68,2666554.0,57810890.72,2026-05-12,15.710000038146973,2026-06-12,21.68000030517578,0.3800127468193808,44
